0.08	0.1	0.12	0.15
10	0.481103120333708	0.553476236253215	0.617473854951666	0.717233507381129
20	0.579832103708861	0.666231978327394	0.733277029506306	0.815024257173887
30	0.656928463445689	0.732484192311847	0.798021014108598	0.869032575192304
40	0.70277405875913	0.783704744709111	0.84379174371258	0.899171773263329
50	0.741625493226379	0.813517863661024	0.871200759048741	0.924798898324443
60	0.768575836397626	0.841948865698904	0.891152539795864	0.941556530651003
70	0.792331491370568	0.859981378466771	0.906947665767135	0.953124754957159
80	0.811198581664677	0.87904365072232	0.922527906455125	0.962345636049021
90	0.828264867071217	0.893110447078973	0.935085033012901	0.969092044454506
100	0.847677709402873	0.90448520349583	0.943568493180521	0.974590154276845
110	0.857111082762604	0.913097421717034	0.951128763958541	0.979748240101224
120	0.870369216461621	0.922915306621193	0.957333655931362	0.98277004209858
130	0.87871483714284	0.92969813943119	0.963345304065959	0.9857821755758
140	0.888969259857302	0.937302939175447	0.96650416324481	0.987440689393015
150	0.898023534453857	0.942181968291025	0.969734381726612	0.989649730513874
160	0.90347279597858	0.947952721301381	0.974146093299084	0.991401759073744
170	0.911468406944516	0.952468753840006	0.977017075350434	0.992541693240692
180	0.917272217076978	0.957005504491571	0.979502387135152	0.993689309043648
190	0.921442755821545	0.961514748854202	0.981738330386404	0.994650313775153
200	0.92656914233642	0.964988733155771	0.983713382938827	0.995393163896018
210	0.932485308958185	0.967841514171352	0.985517628920203	0.996025210715942
220	0.936221035296794	0.970453927032995	0.986455625388564	0.996622732442958
230	0.941321216622237	0.972639845299488	0.98824916874707	0.996980106832644
240	0.94349483580741	0.974977448568668	0.989265028567707	0.997562498246
250	0.946553462998563	0.977114327679245	0.99053589668224	0.99787158771761
