width	width	width	width
10	0.541943	0.495405	0.582528	0.56815
20	0.432655	0.411413	0.508665	0.50246
30	0.365199	0.357868	0.465202	0.457386
40	0.328103	0.324437	0.423042	0.41944
50	0.294306	0.29411	0.394583	0.393068
60	0.272138	0.273353	0.374775	0.370152
70	0.257349	0.258503	0.350437	0.348373
80	0.240029	0.242254	0.340291	0.334154
90	0.226658	0.22978	0.319496	0.318353
100	0.216858	0.219731	0.309455	0.306756
110	0.207344	0.210739	0.298678	0.295401
120	0.199675	0.202819	0.287231	0.284992
130	0.19183	0.195346	0.278027	0.275997
140	0.185508	0.188833	0.270292	0.268033
150	0.179196	0.183433	0.262947	0.260158
160	0.173564	0.177304	0.258481	0.252882
170	0.169641	0.172689	0.249345	0.248142
180	0.164506	0.167826	0.247444	0.243047
190	0.159946	0.163643	0.23911	0.235267
200	0.156576	0.160292	0.235925	0.231251
210	0.152666	0.156779	0.229701	0.227151
220	0.149369	0.153138	0.22543	0.222092
230	0.146294	0.14977	0.222553	0.21857
240	0.143105	0.147156	0.218659	0.213667
250	0.141313	0.14479	0.213613	0.210561
260	0.137793	0.141289	0.211248	0.205961
270	0.135409	0.138955	0.207527	0.203553
280	0.133462	0.136571	0.203914	0.200587
290	0.130941	0.134391	0.200243	0.197531
300	0.128821	0.132294	0.197631	0.194307
310	0.127046	0.130631	0.195181	0.19205
320	0.125334	0.128357	0.191991	0.188557
330	0.12316	0.126212	0.190394	0.186359
340	0.121223	0.124439	0.186662	0.183866
350	0.11964	0.122847	0.185425	0.181508
360	0.117844	0.121027	0.18342	0.178972
370	0.116712	0.119779	0.180434	0.176696
380	0.115252	0.117944	0.178804	0.17475
390	0.11335	0.116692	0.177299	0.172778
400	0.112384	0.115753	0.174928	0.171062
410	0.110768	0.113972	0.174204	0.169409
420	0.1097	0.112714	0.170484	0.167173
430	0.108472	0.111236	0.169219	0.165592
440	0.107248	0.110232	0.167927	0.163781
450	0.106002	0.10906	0.165948	0.161674
