0.08	0.1	0.12	0.15	0.08	0.1	0.12	0.15	0.08	0.1	0.12	0.15	0.08	0.1	0.12	0.15
10	0.336292660470974	0.431693949029106	0.504491292796461	0.612905012560161	0.42336620183622	0.533672850751526	0.606247118495159	0.709591417759306	0.326670873493397	0.404593532117717	0.485639967195447	0.587055497112089	0.356708657385018	0.440093811789102	0.52041657693584	0.631294055596914
20	0.45562292721267	0.546232827459062	0.633069769386218	0.73186774652278	0.548118598071379	0.637398889028795	0.722027554833975	0.80923576688414	0.407061495729136	0.497110492167523	0.581729709493324	0.697709750144476	0.446821867570961	0.542704190166459	0.625875873324545	0.740496878230703
30	0.534665936562156	0.63560922627812	0.707499679680985	0.799900517837176	0.623225566309911	0.713702319803194	0.783592512347888	0.864200539603795	0.464658932521497	0.561873554169034	0.655794204852677	0.762955922602461	0.513218900607206	0.615760070335914	0.701095193806856	0.803527086211506
40	0.580794087124356	0.684897197496324	0.759906008014996	0.844685076343545	0.671530434828854	0.760097400646331	0.830297127588234	0.900447291979578	0.516925669721988	0.616608468924612	0.710730487543955	0.809385506482918	0.566366087854119	0.670125125246231	0.752125703106409	0.849389341352767
50	0.628358322913351	0.724428289654425	0.796434803642724	0.878533596808736	0.712018000809367	0.800384698281028	0.859795249437143	0.921824920466184	0.552719682378777	0.661680960911454	0.74260835458401	0.84591708054114	0.610488695474715	0.711009848778572	0.791757226953405	0.882540144627419
60	0.66132111887171	0.753228040142928	0.828876998680224	0.899839801769064	0.741858063875078	0.824190807857547	0.882579568465918	0.941012193913627	0.594503401555378	0.69334619926515	0.780002729668348	0.871652888175344	0.644916587344795	0.745787118750044	0.825076790017415	0.906715021313097
70	0.693424888702397	0.78495918824755	0.854546011143405	0.918479878976223	0.770837481054266	0.847342876417438	0.903018190819111	0.952661022708215	0.620354933055704	0.723708481495591	0.805793964855363	0.888664743859121	0.677258950093419	0.775133197295317	0.851417794485373	0.923843562021029
80	0.716028711437885	0.805033210940753	0.872440087251195	0.935541184149285	0.793241165257695	0.86730993641625	0.918306851547651	0.960912012651675	0.643315322771532	0.750830251090691	0.830547209879799	0.910325790992148	0.700524909759664	0.799486919916783	0.871079355227515	0.937608071989476
90	0.738717125184729	0.824371828331445	0.886900396995887	0.94393159209424	0.809343928693203	0.881344165022955	0.929602267291461	0.968361062849843	0.667285693254505	0.76979563437359	0.847959023581801	0.920354111576055	0.724355386732504	0.819443017468157	0.887496084523756	0.947703120255192
100	0.757723764643857	0.84199926462201	0.900789486965466	0.952768157083202	0.827041462205116	0.896123771875827	0.938751881038485	0.973683250064657	0.687819288352652	0.79092455227283	0.863759758590602	0.93402013563512	0.74834403761458	0.839614540693656	0.901617347236682	0.956617086281985
110	0.773923786776955	0.856076307288563	0.912316922219167	0.959706815793777	0.841663444006237	0.906579879998933	0.947894176127886	0.978897876149008	0.709760777201678	0.807465648201884	0.877511423748296	0.943054173750947	0.762787260013441	0.856357259415549	0.913652979393284	0.964501424269513
120	0.789270508737178	0.868692430242217	0.922476578077111	0.965284234456562	0.855315350484351	0.916954636898729	0.953776856932931	0.98202444863917	0.728152600395741	0.82287417682578	0.890644671477436	0.95230474184444	0.781253303909559	0.86716594429972	0.924111678436233	0.969442180935164
130	0.805907189748005	0.88052056411164	0.93049999541731	0.970900655012738	0.865177935583659	0.925310013820246	0.960057991128877	0.985111852666024	0.742585793767106	0.838145316123356	0.902423764007332	0.958513137576702	0.794128455122333	0.879749588950686	0.933371983248933	0.974596954426743
140	0.815783483560416	0.89122894185953	0.93728705517103	0.974304246746377	0.878131217420305	0.931847914074562	0.964898314168694	0.987391991488396	0.755598167871449	0.849666550406632	0.910597065348657	0.963513142501565	0.810347446050279	0.889708812896349	0.939964798955738	0.97786782999463
150	0.827849781962075	0.900638904344497	0.945063951158826	0.977813791653277	0.885335262955667	0.938778735222737	0.969000239238243	0.989196180676528	0.76804938207287	0.86149514719579	0.919766859098337	0.968362235569941	0.822174490089551	0.899265506273293	0.947205825690214	0.981378913755948
160	0.835682760035506	0.909321745777096	0.95074237737834	0.981053509462187	0.89405457296773	0.945209604496003	0.972522006461947	0.990939340498354	0.782757592480122	0.871757391046275	0.927450874325954	0.972643213143418	0.832137935079587	0.908384779679021	0.952959298658787	0.983902806960176
170	0.849776153050785	0.91671281352006	0.954480248318197	0.983561134817941	0.901475796269356	0.950255706786533	0.975614716934809	0.992324360466833	0.796260243849024	0.879880363602698	0.934022032617111	0.976154482400805	0.844088851507259	0.91644107544683	0.957556516433503	0.986262651549024
180	0.856839246578757	0.92233466367323	0.958171279491383	0.986016545031122	0.90830716208366	0.954575488549927	0.978297635502233	0.993503618466174	0.803758326024717	0.887572065007595	0.941502444282898	0.97893103031998	0.855010402774662	0.923268175975211	0.962444862076473	0.988134352083076
