width	width	width	width
10	0.656205	0.562663	0.632863	0.614256
20	0.511437	0.445009	0.534357	0.511232
30	0.437655	0.377537	0.477623	0.444981
40	0.390693	0.335558	0.43071	0.403504
50	0.355415	0.304747	0.400227	0.369905
60	0.330338	0.280137	0.372527	0.343063
70	0.307765	0.264652	0.348803	0.322639
80	0.291895	0.248024	0.333383	0.305072
90	0.275988	0.233046	0.317203	0.289068
100	0.264749	0.224352	0.304502	0.276042
110	0.254012	0.214427	0.292863	0.265107
120	0.24361	0.206752	0.28275	0.255863
130	0.235491	0.198091	0.273168	0.245842
140	0.226073	0.191456	0.26626	0.2384
150	0.22164	0.185873	0.259768	0.231064
160	0.213655	0.179588	0.252166	0.224355
170	0.208047	0.174629	0.243977	0.218831
180	0.202993	0.169717	0.240622	0.213021
190	0.198294	0.165875	0.233176	0.206793
200	0.192952	0.162315	0.22732	0.202264
210	0.190058	0.158577	0.223625	0.198248
220	0.185437	0.154583	0.218939	0.193625
230	0.181167	0.151966	0.215426	0.190055
240	0.176965	0.148152	0.211842	0.186008
250	0.174554	0.146286	0.205761	0.18329
260	0.172095	0.142856	0.203868	0.179091
270	0.168422	0.140128	0.199384	0.176021
280	0.165891	0.138316	0.197245	0.173287
290	0.162488	0.135608	0.193976	0.170524
300	0.160491	0.133917	0.191719	0.168174
310	0.157523	0.131716	0.187881	0.166064
320	0.155509	0.129255	0.186198	0.162722
330	0.152829	0.127542	0.181553	0.161004
340	0.150868	0.125959	0.180398	0.158576
350	0.149874	0.124177	0.178504	0.156267
360	0.146638	0.122137	0.176491	0.153717
370	0.145915	0.121077	0.174488	0.15216
380	0.143504	0.119396	0.172424	0.150206
390	0.142012	0.117547	0.169677	0.148214
400	0.140308	0.116988	0.168003	0.14674
410	0.138839	0.114953	0.16574	0.144685
420	0.136113	0.113829	0.164491	0.143556
430	0.134448	0.112428	0.16256	0.141559
440	0.134401	0.111381	0.160271	0.139855
450	0.132235	0.109849	0.159069	0.138446
