0.08	0.1	0.12	0.15
10	0.474706504958147	0.54862075177483	0.618937811086274	0.707954367685439
20	0.581172869221065	0.661052021964497	0.72789341975957	0.809179117586995
30	0.650240415226128	0.727051653894238	0.790998169409518	0.860268021923987
40	0.697456341890763	0.773476268376575	0.834103335550261	0.897547229172351
50	0.734314533960219	0.807614151577253	0.860912700055137	0.919935193703478
60	0.762770007081528	0.832978993258945	0.884223007770044	0.934839374871482
70	0.786718974035834	0.850630164314855	0.902242066354604	0.947629176586208
80	0.805014581800589	0.871291349587042	0.917075252850347	0.956732948149672
90	0.821851762727307	0.883835352953621	0.926766641209368	0.963847319629837
100	0.836156218638708	0.896568954479367	0.936377881230314	0.970257456166103
110	0.848302538009986	0.907478192432705	0.94455540161091	0.975018355793766
120	0.861902703346771	0.916200010811879	0.950133798224316	0.978640509424914
130	0.869972978128115	0.925084219686449	0.955396553615777	0.982420330424564
140	0.881466574642525	0.929801092854157	0.960919093970337	0.984382145380864
150	0.890588673890037	0.937708685794919	0.965274677476284	0.986711852725093
160	0.895999937056803	0.94411014728825	0.967644455514041	0.988736668354208
170	0.903491432850058	0.948498694620273	0.972079816966107	0.990330773623481
180	0.910001914437216	0.952474312805749	0.975267398175075	0.991454211987016
190	0.915974138471935	0.956183085356033	0.977698302225489	0.992680905963196
200	0.920991049290926	0.958581005784719	0.979640257138025	0.993675023713961
210	0.923672704882201	0.96158037238431	0.981624032880397	0.994290080784644
220	0.92886667158908	0.965575649463426	0.983200972337133	0.995082894381202
230	0.933367667313526	0.96817879206279	0.985239927496994	0.995877280956179
240	0.936841164083982	0.970513189064768	0.986411547895643	0.996372605110333
250	0.940154916097222	0.973184460723731	0.987757618255125	0.996719477824405
260	0.943848660371413	0.973534795472554	0.988728098977113	0.997080154718583
270	0.947749531900022	0.975726643037277	0.989957123945989	0.99749352329934
280	0.948751723848855	0.977573829543593	0.990795860849121	0.997725606100285
290	0.951999740048765	0.97924177157876	0.991155080523314	0.998048356208057
300	0.954229344671153	0.980808656100718	0.992061396853347	0.998356315631576
